role,role_label,player,nation,original_price,refined_price,change
P,Portiere,Alisson,Brasile,12,18,6
P,Portiere,Emiliano Martínez,Argentina,12,18,6
P,Portiere,M. Maignan,Francia,12,18,6
P,Portiere,Unai Simón,Spagna,12,18,6
P,Portiere,Diogo Costa,Portogallo,11,15,4
P,Portiere,J. Pickford,Inghilterra,11,15,4
P,Portiere,Manuel Neuer,Germania,11,15,4
P,Portiere,Dominik Livakovic,Croazia,10,12,2
P,Portiere,T. Courtois,Belgio,10,12,2
P,Portiere,B. Verbruggen,Paesi Bassi,9,10,1
P,Portiere,Álvaro Montero,Colombia,9,10,1
P,Portiere,E. Mendy,Senegal,8,9,1
P,Portiere,G. Kobel,Svizzera,8,9,1
P,Portiere,Sergio Rochet,Uruguay,8,9,1
P,Portiere,Y. Bounou,Marocco,8,9,1
P,Portiere,U. Çakır,Turchia,7,7,0
P,Portiere,Lukas Hornicek,Repubblica Ceca,6,6,0
P,Portiere,M. Crépeau,Canada,6,6,0
P,Portiere,Matt Freese,Stati Uniti,6,6,0
P,Portiere,Raúl Rangel,Messico,6,6,0
P,Portiere,V. Johansson,Svezia,6,6,0
P,Portiere,Y. Fofana,Costa d'Avorio,6,6,0
P,Portiere,Ørjan Nyland,Norvegia,6,6,0
P,Portiere,A. Schlager,Austria,5,5,0
P,Portiere,Bum-keun Song,Corea del Sud,5,5,0
P,Portiere,Craig Gordon,Scozia,5,5,0
P,Portiere,Lawrence Ati Zigi,Ghana,5,5,0
P,Portiere,M. Ryan,Australia,5,5,0
P,Portiere,Moisés Ramírez,Ecuador,5,5,0
P,Portiere,O. Gill,Paraguay,5,5,0
P,Portiere,Z. Suzuki,Giappone,5,5,0
P,Portiere,A. Dahmen,Tunisia,4,4,0
P,Portiere,Alireza Beiranvand,Iran,4,4,0
P,Portiere,L. Mpasi-Nzau,Repubblica Democratica del Congo,4,4,0
P,Portiere,Luca Zidane,Algeria,4,4,0
P,Portiere,Max Crocombe,Nuova Zelanda,4,4,0
P,Portiere,N. Vasilj,Bosnia ed Erzegovina,4,4,0
P,Portiere,Nawaf Al-Aqidi,Arabia Saudita,4,4,0
P,Portiere,Oufa Shobeir,Egitto,4,4,0
P,Portiere,R. Williams,Sudafrica,4,4,0
